wait_time_id,reporting_level,province,region,indicator,metric,data_year,unit_of_measurement,indicator_result
1,Provincial,Alberta,Provincial,Bladder Cancer Surgery,50th Percentile,2008,Days,
2,Provincial,Alberta,Provincial,Bladder Cancer Surgery,90th Percentile,2008,Days,
3,Provincial,Alberta,Provincial,Bladder Cancer Surgery,Volume,2008,Number of cases,
4,Provincial,Alberta,Provincial,Breast Cancer Surgery,50th Percentile,2008,Days,
5,Provincial,Alberta,Provincial,Breast Cancer Surgery,90th Percentile,2008,Days,
6,Provincial,Alberta,Provincial,Breast Cancer Surgery,Volume,2008,Number of cases,
7,Provincial,Alberta,Provincial,CABG,% Meeting Benchmark,2008,Proportion,99.0
8,Provincial,Alberta,Provincial,CABG,50th Percentile,2008,Days,7.0
9,Provincial,Alberta,Provincial,CABG,90th Percentile,2008,Days,83.0
10,Provincial,Alberta,Provincial,CABG,Volume,2008,Number of cases,
11,Provincial,Alberta,Provincial,Cataract Surgery,% Meeting Benchmark,2008,Proportion,71.0
12,Provincial,Alberta,Provincial,Cataract Surgery,50th Percentile,2008,Days,70.0
13,Provincial,Alberta,Provincial,Cataract Surgery,90th Percentile,2008,Days,199.0
14,Provincial,Alberta,Provincial,Cataract Surgery,Volume,2008,Number of cases,8662.0
15,Provincial,Alberta,Provincial,Colorectal Cancer Surgery,50th Percentile,2008,Days,
16,Provincial,Alberta,Provincial,Colorectal Cancer Surgery,90th Percentile,2008,Days,
17,Provincial,Alberta,Provincial,Colorectal Cancer Surgery,Volume,2008,Number of cases,
18,Provincial,Alberta,Provincial,CT Scan,50th Percentile,2008,Days,10.0
19,Provincial,Alberta,Provincial,CT Scan,90th Percentile,2008,Days,39.0
20,Provincial,Alberta,Provincial,CT Scan,Volume,2008,Number of cases,
21,Provincial,Alberta,Provincial,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
22,Provincial,Alberta,Provincial,Hip Fracture Repair,50th Percentile,2008,Hours,
23,Provincial,Alberta,Provincial,Hip Fracture Repair,90th Percentile,2008,Hours,
24,Provincial,Alberta,Provincial,Hip Fracture Repair,Volume,2008,Number of cases,
25,Provincial,Alberta,Provincial,Hip Fracture Repair/Emergency And Inpatient,% Meeting Benchmark,2008,Proportion,
26,Provincial,Alberta,Provincial,Hip Fracture Repair/Emergency And Inpatient,50th Percentile,2008,Hours,
